well,treatment,bursts_mean_duration,burst_freq,INBI,cv_of_INBI,fnb,ISI_within,ISI_outside,involved_electrodes
A5,Gabazine,1.3309689302325582,7.166666666666667,8.362693457943925,1.652924846410874,0.15897684444444446,8.260752204527156,55.25279012886504,9.037209302325582
A6,Gabazine,2.728261739130425,3.066666666666667,19.124589010989013,1.0409194233896437,0.13944448888888838,5.5776971275940355,91.82156437170141,11.847826086956522
A7,Gabazine,1.144515654596102,11.966666666666667,4.954291173184357,1.5105797494775266,0.22826728888888925,8.717858248211385,44.37032843450477,7.278551532033426
A8,Gabazine,2.1843552293578097,3.6333333333333333,16.625970370370368,1.1627862304398293,0.13227484444444515,7.017007424865108,70.88601080492117,10.311926605504587
B5,KainicAcid,0.4687866723622397,78.03333333333333,0.7690388034188034,0.5240983427485023,0.6096831111111128,16.19053021276075,32.374399114921715,7.265271251601879
B6,KainicAcid,0.548267011866235,61.800000000000004,0.9698784241770103,0.7783926221665316,0.5647150222222221,16.023357115224172,33.718851435705375,7.466019417475728
B7,KainicAcid,1.0105719247467453,46.06666666666667,1.2982255756698045,1.1172664101504468,0.7758946666666678,15.515766606130711,33.5239783783782,7.164978292329956
B8,KainicAcid,1.409357892824704,36.7,1.6245245818181817,0.8923375813523047,0.8620572444444439,15.06927584970881,32.93861354581686,6.129881925522253
C5,Control,0.916482962962962,16.200000000000003,3.6840178144329903,2.2239020370991023,0.24745039999999974,9.346791090692898,42.411369159463874,7.948559670781893
C6,Control,1.8772062500000004,4.266666666666667,14.018926614173228,1.4312135199801361,0.13349022222222226,8.166162415057457,65.58425435276305,10.171875
C7,Control,0.6422360305343536,17.466666666666665,3.4336737284894836,2.361969208641808,0.18696204444444517,9.77949987327842,41.392958216639755,7.511450381679389
C8,Control,3.688649504950496,3.3666666666666667,17.8944968,0.7331784294539541,0.20697422222222225,5.729922118030716,94.80851448312515,10.792079207920793
D5,GABA,0.6799747967479672,32.8,1.830330905391658,1.0327844426183905,0.3717195555555554,22.16832160217855,51.257821710347336,8.327235772357724
D6,GABA,0.4660574011299455,29.5,2.0272953846153845,1.376296210252685,0.22914488888888987,22.656884943626842,51.675234866828035,7.290395480225989
D7,GABA,0.4067211631663973,20.633333333333333,2.9061497734627832,1.2640667801158076,0.13986688888888885,22.249911488078855,59.82530359834577,6.733441033925686
D8,GABA,1.5827089874857794,29.3,2.032539316628702,1.0848984605911602,0.7728895555555555,21.099704132311963,47.8920140679953,9.829351535836178
E5,CNQX,0.8042133901918928,15.633333333333333,3.8173984615384615,1.0059389708439084,0.20954226666666537,41.003228500279846,95.43958132045104,6.91684434968017
E6,CNQX,1.056717254901958,20.400000000000002,2.933351620294599,0.900007521890461,0.35928386666666573,40.81650119565838,91.09083669115918,6.589869281045751
E7,CNQX,1.111691403314919,30.166666666666664,1.985334690265487,0.7249522011670024,0.5589337333333343,29.469263058090142,67.51271056661547,7.195580110497238
E8,CNQX,1.7555688372093012,22.933333333333334,2.583386200873362,1.2149534316145638,0.6710174222222218,29.557038305443406,64.64246584326163,6.626453488372093
F5,D-AP5,1.2107986295503244,15.566666666666665,3.8327136480686694,0.9545609814162875,0.3141349777777786,51.30287836210985,112.54604540895399,8.5203426124197
F6,D-AP5,0.9331637434279707,31.7,1.8916383157894736,0.6687396053973003,0.49302151111111114,30.64726356667301,62.55962693731998,7.896950578338591
F7,D-AP5,1.054225142857143,25.666666666666664,2.335243172951886,0.6979003062179092,0.45097408888888896,40.578048338884265,84.89839436135462,7.333766233766234
F8,D-AP5,1.1815387826086923,23.0,2.526739970972424,0.6788070699238478,0.45292319999999875,40.141995133349276,88.08475304223356,8.555072463768116
