well,treatment,MFR,STTC,burst_per_min,burst_duration,spike_freq_in_bursts,percent_of_spikes_in_bursts,number_of_spikes_in_bursts
A5,Gabazine,7.11228739669433,0.702362369428003,5.844,1.07739533891851,44.3638210156438,84.921,66.231
A6,Gabazine,6.96289133516956,0.808136940541438,3.05625,2.14879536152797,48.8587205470956,90.451,123.709
A7,Gabazine,6.50802066089368,0.448664362153704,9.08,0.768554325894222,39.608283561577,78.05,39.127
A8,Gabazine,5.20177500134686,0.68618243528744,3.67125,1.38582222222222,40.7933044658256,83.317,70.749
B5,KainicAcid,3.53934817578981,0.0016332970755869,31.368,0.259723401360546,34.7752378243235,41.397,7.848
B6,KainicAcid,3.53748283345291,0.0183904195900697,23.532,0.242016833758142,32.3178993261638,27.596,6.966
B7,KainicAcid,4.93407522459018,0.0234588685667542,31.05,0.848408845947397,40.8727735463824,58.691,33.571
B8,KainicAcid,7.91333782700388,0.0116633915765164,63.2,0.369927047652541,36.9820980067301,60.529,12.127
C5,Control,7.62985341755736,0.439265082004418,8.21076923076923,0.916327022805372,39.357947103032,80.368,51.715
C6,Control,4.90596941044311,0.668896716112411,3.616,1.83365937230769,38.03000534081,82.002,71.29
C7,Control,5.49410788045319,0.528646477257783,5.505,0.999850094732852,37.3445634048098,75.104,45.025
C8,Control,6.28199673305054,0.658493839654129,4.86,1.93662174957118,36.6827426042258,85.256,71.646
D5,GABA,2.00701905619761,0.0723090622914511,3.69692307692308,0.236375555555557,40.0499297466227,22.302,8.951
D6,GABA,1.93805099990096,0.0078377288371166,9.51,0.226512478031632,36.3278987999715,8.837,7.042
D7,GABA,1.56172810546574,0.0764349190796598,1.18363636363636,0.385032225063936,30.538121984382,11.667,11.742
D8,GABA,2.81699435582652,0.0096892991074941,13.5466666666667,0.297155509309967,35.6259204187253,42.444,9.428
E5,CNQX,1.11594436039309,0.0045104070491018,0.6,0.153153333333333,41.6883882087975,0.78,5.222
E6,CNQX,1.23632814094776,0.0049495257806194,23.52,0.204434156028371,39.4502103271331,16.677,6.843
E7,CNQX,2.20577392806962,0.0048875543851137,9.27428571428571,0.266222651593014,38.6008654207128,36.887,9.03
E8,CNQX,2.76069222655826,0.0156739322140347,22.22,0.264808884442222,36.2591138803556,30.761,8.41
F5,D-AP5,0.941927662663582,0.0034806196783272,0.12,0.204523636363632,26.4706385677646,0.254,5.091
F6,D-AP5,1.88633430728716,0.0026189925095705,1.74,0.195509902912615,34.9490439054311,1.437,6.155
F7,D-AP5,1.35767003378295,0.001737034905726,2.4,0.177363888888883,39.6134853061268,2.594,5.722
F8,D-AP5,1.35506282861812,0.0058195775575391,,,,0.0,
